episode,source_demo,starting_head_pitch_rad
episode_000000,demo_20260102_195919,-0.038350
episode_000001,demo_20260102_195950,-0.828350
episode_000002,demo_20260102_201303,-0.073631
episode_000003,demo_20260102_201327,-0.931126
episode_000004,demo_20260119_133111,-0.966408
episode_000005,demo_20260119_133135,-0.145728
episode_000006,demo_20260119_133216,0.041417
episode_000007,demo_20260119_133239,-0.069029
episode_000008,demo_20260119_133415,-0.497010
episode_000009,demo_20260119_133437,0.122718
episode_000010,demo_20260119_133454,-0.822214
episode_000011,demo_20260119_133526,-0.934194
episode_000012,demo_20260119_133544,-0.952602
episode_000013,demo_20260119_133615,0.019942
episode_000014,demo_20260119_133632,-0.354350
episode_000015,demo_20260119_133700,0.079767
episode_000016,demo_20260119_133719,-0.969476
episode_000017,demo_20260119_133758,-0.967942
episode_000018,demo_20260119_133814,-0.134990
episode_000019,demo_20260119_133841,-0.967942
episode_000020,demo_20260119_133933,-0.394233
episode_000021,demo_20260119_133950,-0.967942
episode_000022,demo_20260119_134007,-0.136524
episode_000023,demo_20260119_134041,0.202485
episode_000024,demo_20260119_134125,-0.967942
episode_000025,demo_20260119_134259,-0.967942
episode_000026,demo_20260119_134316,-0.000000
episode_000027,demo_20260119_134349,0.096641
episode_000028,demo_20260119_134404,-0.029146
episode_000029,demo_20260119_134424,-0.208621
episode_000030,demo_20260119_134439,-0.529223
episode_000031,demo_20260119_134533,-0.093573
episode_000032,demo_20260119_134643,-0.093573
episode_000033,demo_20260119_134707,-0.214757
episode_000034,demo_20260119_134734,-0.701029
episode_000035,demo_20260119_134800,-0.967942
episode_000036,demo_20260119_134815,-0.231631
episode_000037,demo_20260119_134840,-0.184078
episode_000038,demo_20260119_134856,-0.900447
episode_000039,demo_20260119_134918,0.073631
episode_000040,demo_20260119_134938,-0.363553
episode_000041,demo_20260119_135005,-0.971010
episode_000042,demo_20260119_135022,-0.380427
episode_000043,demo_20260119_135048,0.165670
episode_000044,demo_20260119_135120,-0.816078
episode_000045,demo_20260119_135143,-0.967942
episode_000046,demo_20260119_135242,-0.967942
episode_000047,demo_20260119_135302,0.084369
episode_000048,demo_20260119_135321,-0.690291
episode_000049,demo_20260119_135405,-0.265379
episode_000050,demo_20260119_135430,-0.291456
episode_000051,demo_20260119_135501,-0.797670
episode_000052,demo_20260119_135534,0.099709
episode_000053,demo_20260119_135552,-0.150330
episode_000054,demo_20260119_135614,0.006136
episode_000055,demo_20260119_135629,-0.875903
episode_000056,demo_20260119_135711,-0.223961
episode_000057,demo_20260119_135740,-0.610524
episode_000058,demo_20260119_135754,-0.696427
episode_000059,demo_20260119_135820,-0.967942
episode_000060,demo_20260119_135837,-0.104311
episode_000061,demo_20260119_135902,-0.431049
episode_000062,demo_20260119_135948,-0.967942
episode_000063,demo_20260119_140006,-0.967942
episode_000064,demo_20260131_164515,-0.832952
episode_000065,demo_20260131_164542,-0.971010
episode_000066,demo_20260131_164803,-0.971010
episode_000067,demo_20260131_164831,-0.082835
episode_000068,demo_20260131_164849,-0.664214
episode_000069,demo_20260131_164915,-0.058291
episode_000070,demo_20260131_164931,-0.065961
episode_000071,demo_20260131_164957,-0.075165
episode_000072,demo_20260131_165412,-0.967942
episode_000073,demo_20260131_165435,-0.052155
episode_000074,demo_20260131_165503,-0.924990
episode_000075,demo_20260131_165528,-0.967942
episode_000076,demo_20260131_165545,-0.088971
episode_000077,demo_20260131_165616,-0.971010
episode_000078,demo_20260131_165632,-0.799204
episode_000079,demo_20260131_165706,-0.107379
episode_000080,demo_20260131_165730,-0.967942
episode_000081,demo_20260131_165759,-0.971010
episode_000082,demo_20260131_165813,-0.297592
episode_000083,demo_20260131_165837,-0.236233
episode_000084,demo_20260131_165854,-0.967942
episode_000085,demo_20260131_165925,-0.967942
episode_000086,demo_20260131_165946,-0.971010
episode_000087,demo_20260131_170014,-0.190214
episode_000088,demo_20260131_170054,-0.938796
episode_000089,demo_20260131_170119,-0.667282
episode_000090,demo_20260131_170136,-0.196350
episode_000091,demo_20260131_170200,-0.085903
episode_000092,demo_20260131_170218,-0.967942
episode_000093,demo_20260131_170245,-0.263845
episode_000094,demo_20260131_170301,-0.092039
episode_000095,demo_20260131_170329,-0.670350
episode_000096,demo_20260131_170347,-0.971010
episode_000097,demo_20260131_170416,-0.184078
episode_000098,demo_20260131_170432,-0.398835
episode_000099,demo_20260131_170456,-0.193282
episode_000100,demo_20260131_170729,-0.722505
episode_000101,demo_20260131_170957,-0.967942
episode_000102,demo_20260131_171013,-0.562971
episode_000103,demo_20260131_171108,-0.967942
episode_000104,demo_20260131_171126,-0.059825
episode_000105,demo_20260131_171159,-0.015340
episode_000106,demo_20260131_171217,-0.009204
episode_000107,demo_20260131_171233,-0.434117
episode_000108,demo_20260131_171254,-0.668816
episode_000109,demo_20260131_171316,-0.104311
episode_000110,demo_20260131_171335,-0.095107
episode_000111,demo_20260131_171551,-0.967942
episode_000112,demo_20260131_171613,-0.058291
episode_000113,demo_20260131_171636,-0.967942
episode_000114,demo_20260131_171721,-0.191748
episode_000115,demo_20260131_171805,-0.967942
episode_000116,demo_20260131_171917,-0.506214
episode_000117,demo_20260131_171938,-0.041417
episode_000118,demo_20260131_171956,-0.664214
episode_000119,demo_20260131_172019,-0.122718
episode_000120,demo_20260131_172044,-0.204019
episode_000121,demo_20260131_172110,-0.926524
episode_000122,demo_20260131_200323,-0.326738
episode_000123,demo_20260131_200341,-0.279184
episode_000124,demo_20260131_200413,-0.967942
episode_000125,demo_20260131_200435,-0.401903
episode_000126,demo_20260131_200555,-0.966408
episode_000127,demo_20260131_200614,-0.056757
episode_000128,demo_20260131_200715,-0.966408
episode_000129,demo_20260131_200742,-0.076699
episode_000130,demo_20260131_201336,-0.967942
episode_000131,demo_20260131_201359,-0.073631
episode_000132,demo_20260131_201417,-0.967942
episode_000133,demo_20260131_201441,-0.625864
episode_000134,demo_20260131_201459,-0.644272
episode_000135,demo_20260131_201520,-0.372757
episode_000136,demo_20260131_201542,-0.118117
episode_000137,demo_20260131_201602,-0.072097
episode_000138,demo_20260131_201623,-0.529223
episode_000139,demo_20260131_201644,-0.042951
episode_000140,demo_20260131_201705,-0.536893
episode_000141,demo_20260131_201728,-0.967942
episode_000142,demo_20260131_201746,-0.670350
episode_000143,demo_20260131_201809,-0.237767
episode_000144,demo_20260131_201825,-0.411107
episode_000145,demo_20260131_201847,-0.920388
episode_000146,demo_20260131_201916,-0.967942
episode_000147,demo_20260131_201939,-0.967942
episode_000148,demo_20260131_202003,-0.915787
episode_000149,demo_20260131_202039,-0.967942
episode_000150,demo_20260131_202101,-0.219359
episode_000151,demo_20260131_202118,-0.179476
episode_000152,demo_20260131_202147,-0.967942
episode_000153,demo_20260131_203227,-0.966408
episode_000154,demo_20260131_203250,-0.102777
episode_000155,demo_20260131_203333,-0.434117
episode_000156,demo_20260131_203415,-0.926524
episode_000157,demo_20260131_203441,-0.967942
episode_000158,demo_20260131_203458,-0.848291
episode_000159,demo_20260131_203521,-0.967942
episode_000160,demo_20260131_203550,-0.248505
episode_000161,demo_20260131_203610,-0.277651
episode_000162,demo_20260131_203627,-0.967942
episode_000163,demo_20260131_203702,-0.880505
episode_000164,demo_20260131_203723,-0.967942
episode_000165,demo_20260131_203739,-0.865165
episode_000166,demo_20260131_203808,0.010738
episode_000167,demo_20260131_203823,-0.967942
episode_000168,demo_20260131_203843,-0.967942
episode_000169,demo_20260131_203901,-0.352816
episode_000170,demo_20260131_203943,-0.613592
episode_000171,demo_20260131_204007,-0.851359
episode_000172,demo_20260131_204024,-0.782330
episode_000173,demo_20260131_204104,-0.967942
episode_000174,demo_20260131_204131,-0.967942
episode_000175,demo_20260131_204148,-0.823748
